,label,score
0,NEGATIVE,0.6078699231147766
1,POSITIVE,0.9963139891624451
2,NEGATIVE,0.9915264248847961
3,NEGATIVE,0.6728914380073547
4,NEGATIVE,0.9955734014511108
5,NEGATIVE,0.9962499737739563
6,POSITIVE,0.80470210313797
7,POSITIVE,0.9998224377632141
8,POSITIVE,0.5946040749549866
9,POSITIVE,0.9955940842628479
10,POSITIVE,0.9948898553848267
11,NEGATIVE,0.9914008975028992
12,POSITIVE,0.9998165965080261
13,POSITIVE,0.99943608045578
14,POSITIVE,0.9998528957366943
15,POSITIVE,0.9998528957366943
16,NEGATIVE,0.9847905039787292
17,NEGATIVE,0.9968846440315247
18,NEGATIVE,0.996009111404419
19,POSITIVE,0.9997411370277405
20,POSITIVE,0.9998217225074768
21,NEGATIVE,0.977957546710968
22,NEGATIVE,0.99126797914505
23,NEGATIVE,0.9843435287475586
24,POSITIVE,0.9998030066490173
25,NEGATIVE,0.9768869280815125
26,POSITIVE,0.946664035320282
27,POSITIVE,0.9679208397865295
28,POSITIVE,0.9964698553085327
29,NEGATIVE,0.9992609620094299
30,NEGATIVE,0.9996892213821411
31,POSITIVE,0.6436993479728699
32,NEGATIVE,0.9997950196266174
33,NEGATIVE,0.9950922727584839
34,NEGATIVE,0.9828565716743469
35,NEGATIVE,0.9986055493354797
36,NEGATIVE,0.9914809465408325
37,POSITIVE,0.8617284297943115
38,NEGATIVE,0.7215848565101624
39,POSITIVE,0.9997252821922302
40,NEGATIVE,0.9817706942558289
41,NEGATIVE,0.9910176992416382
42,NEGATIVE,0.9836746454238892
43,POSITIVE,0.9861387610435486
44,POSITIVE,0.8755531311035156
45,NEGATIVE,0.9988222718238831
46,POSITIVE,0.9963375329971313
47,NEGATIVE,0.9993529915809631
48,POSITIVE,0.9328040480613708
49,NEGATIVE,0.9974411725997925
50,NEGATIVE,0.9932947754859924
51,NEGATIVE,0.9759491682052612
52,POSITIVE,0.9614180326461792
53,NEGATIVE,0.9904693961143494
54,NEGATIVE,0.9996967315673828
55,NEGATIVE,0.9918556213378906
56,NEGATIVE,0.7210655212402344
57,NEGATIVE,0.9939473867416382
58,POSITIVE,0.8247671127319336
59,POSITIVE,0.9980670809745789
60,POSITIVE,0.9224530458450317
61,NEGATIVE,0.5877088308334351
62,NEGATIVE,0.9985036849975586
63,POSITIVE,0.9038980007171631
64,NEGATIVE,0.8709632158279419
65,NEGATIVE,0.9438691735267639
66,POSITIVE,0.9657256603240967
67,POSITIVE,0.9946803450584412
68,NEGATIVE,0.6260278224945068
69,POSITIVE,0.9810822010040283
70,NEGATIVE,0.803368330001831
71,POSITIVE,0.6049854755401611
72,POSITIVE,0.9986227750778198
73,NEGATIVE,0.9895612597465515
74,POSITIVE,0.9994328618049622
75,NEGATIVE,0.9996612071990967
76,NEGATIVE,0.9996362924575806
77,NEGATIVE,0.9986554384231567
